1,One Inc.,Organization,One is a mobile app that uses common interests to helpits users interact with others.,2011-08-01,6,,,1150050,0,8
1-Net,1 Net,Organization,,,,,,0,0,
360T Asia Pacific Pte Ltd,360T,360T,Organization,360T provides web-based trading technology for over-the-counter financial instruments, integration solutions, and related services.,2000-01-01,4,,,0,0,
3COM APR Ltd,3COM,3Com,Organization,3Com provides network-based intrusion prevention systems that deliver application, infrastructure and performance protection.,1980-01-01,4,,,0,0,
3i-MIND,3i-MIND,Organization,3i-MIND offers technology solutions in web data mining and threat management to enhance business processes.,,,,,0,0,
3M,3M,Organization,Over the years, our innovations have improved daily life for hundreds of millions of people all over the world.,1902-01-01,4,1000000,10001,0,2,79183
3View,3view,Organization,bext-generation set top box manufacturer,2009-07-03,7,10,1,0,0,10
42,42,Organization,Retail Technology,2013-01-01,4,,,0,0,
48Upper,48Upper,Organization,,,,,,0,0,
5,5 ,Organization,    ,2013-04-01,7,10,1,0,0,10
88DB,88DB,Organization,88DB.com India - Chennai is an interactive free classified ads platform which tailor-made for freelancers.,2008-12-01,7,250,101,0,0,150
A,A Plus,Organization,A Plus is a digital media company co-founded by Ashton Kutcher that features stories that make a difference and create positive change.,2013-01-01,4,50,11,0,0,
a,A Plus,Organization,A Plus is a digital media company co-founded by Ashton Kutcher that features stories that make a difference and create positive change.,2013-01-01,4,50,11,0,0,
A-STAR,A-STAR,Organization,A-STAR was founded in 2012,2012-05-14,7,,,0,0,
aaa,AAA,Organization,AAA (the American Automobile Association, Inc.) is a federation of affiliated automobile clubs.,1902-03-04,7,10000,5001,0,0,
Abacus,Abacus,Organization,,,,,,0,0,
ABB,ABB,Organization,ABB provides power and automation technologies for smart grids, robotics, electric cars, renewable energy and motors.,1988-01-01,4,1000000,10001,2700000,8,
abc,ABC,Organization,ABC is a media company that develops, produces, and distributes entertainment content on television and online.,,,None,None,0,0,
ABC,ABC,Organization,ABC is a media company that develops, produces, and distributes entertainment content on television and online.,,,None,None,0,0,
Abc,ABC,Organization,ABC is a media company that develops, produces, and distributes entertainment content on television and online.,,,None,None,0,0,
ABCD,ABCD,Organization,,,,,,0,0,
Aberdeen,Aberdeen,Organization,Aberdeen is a leading manufacturer of NAS, SAN and DAS Storage Arrays and a pioneer in developing high performance servers.,1991-01-01,4,None,None,0,0,
ABS-CBN,ABS-CBN GLOBAL LTD.,Organization,ABS-CBN Global is a major commercial television network in the Philippines.,1953-10-23,7,1000,501,0,1,
Acacia,Acacia,Organization,Acacia is a mobile app development company.,2012-03-10,7,10,1,15000,0,3
Acando,Acando,Organization,,,,,,0,0,
Acc,ACC,Organization,,,,,,0,0,
ACC,ACC,Organization,,,,,,0,0,
ACCA,ACCA,Organization,A powerful global presence within the profession, ACCA inspires its members and students towards greater success and prosperity.,,,None,None,0,0,
AccelerAsia,AccelerAsia,Organization,Venture Accelerator,2010-01-01,4,,,0,0,
Accellion,Accellion,Organization,Accellion provides secure file sharing solutions that help corporations secure their intellectual property and ensure compliance.,1999-01-01,4,,,13410901,0,150
Accent,Accent,Organization,Accent is an ISO 9001:2008 certified provider of semiconductor integration of communications and metering technologies.,,,,,20209960,0,
Accenture,Accenture,Organization,Accenture is a global management consulting, technology services, and outsourcing company.,2001-01-01,7,1000000,10001,0,4,205000
accenture,Accenture,Organization,Accenture is a global management consulting, technology services, and outsourcing company.,2001-01-01,7,1000000,10001,0,4,205000
Access,Access,Organization,ACCESS provides of software to the mobile and beyond-PC markets. Principal ACCESS technologies include the Garnet OS, one of the first,1979-04-01,7,,,0,1,
Accor,Accor,Organization,Accor, European leader in hotels and tourism, global leader in corporate services, operates in nearly 100 countries with 150,000 employees.,,,,,0,0,
Accord,Accord,Organization,The business was founded in 2013 and is headquartered in San Francisco with additional offices in Chicago and London.,2013-01-01,4,,,0,0,
Accrue,Accrue,Organization,Realtime market almanac meets an institutional risk engine,2013-06-06,7,50,11,0,0,
Ace,ACE,Organization,ArgentumCidalElectrics Inc. is engaged in creating and testing technologies that eradicate the growth of bacteria, funguses and viruses.,2006-01-01,4,,,1245092,0,
ACE,ACE,Organization,ArgentumCidalElectrics Inc. is engaged in creating and testing technologies that eradicate the growth of bacteria, funguses and viruses.,2006-01-01,4,,,1245092,0,
Acer,Acer,Organization,Acer is a hardware and electronics corporation that designs, develops, and distributes IT products and offers e-business services.,1976-01-01,4,None,None,150594138,1,
ACER,Acer,Organization,Acer is a hardware and electronics corporation that designs, develops, and distributes IT products and offers e-business services.,1976-01-01,4,None,None,150594138,1,
Achmea,Achmea,Organization,Achmea is a leading insurance company based in the Netherlands.,,,None,None,0,0,
ACI,ACI,Organization,,,,,,0,1,
Acision,Acision,Organization,Acision is a mobile communications network infrastructure company specializing in messaging and charging systems.,1992-01-01,4,5000,1001,100000000,0,1600
Acme,ACME,Organization,Computer accessories,1993-01-01,7,100,51,0,0,70
